"price","processor_speed","battery_capacity","ram_capacity","internal_memory"
109900,2.65,3500,4,64
39900,2.65,1821,3,64
39999,2.9,6000,8,128
71999,3.2,6000,12,256
72999,3.2,6000,16,256
89999,3.2,6000,18,512
75990,3.2,6000,18,256
63990,3.2,4300,8,128
8990,2.3,5180,4,64
14999,2.2,5000,4,64
14999,2.05,6000,8,128
45999,2.6,22000,12,256
15999,2,3700,4,64
36000,2.4,4080,8,128
32999,2.4,4620,6,128
40480,2.8,4614,8,128
54300,2.8,5003,12,128
53100,2.85,4355,8,128
32990,2.4,4300,6,128
24990,2,4300,8,128
39990,2.5,4800,12,512
30990,2.5,4800,8,256
13999,2,5000,4,64
13999,2.3,5000,6,128
16999,2.4,4000,6,128
14990,2.2,5000,6,128
16999,2.2,4800,8,128
27999,2.2,5100,8,256
99990,3.13,4500,8,256
239999,3.2,4700,12,512
29990,2.4,4000,8,128
23999,2.4,4500,8,256
21990,2.2,4200,8,128
29990,2.4,4300,8,128
19990,2.4,4000,8,128
22990,2.4,5000,8,128
9999,2.3,6000,4,64
8910,1.82,6000,4,64
10850,2,5000,6,64
12340,2,5000,8,128
17999,2.4,5000,4,64
19999,2.4,5000,6,128
8999,2.3,6000,4,64
12999,2.05,5000,8,128
12799,2,5000,6,128
15999,2.05,5000,8,128
11700,2,5000,4,64
12999,2,5000,6,128
16999,2.05,5000,8,128
15999,2.4,5000,6,64
16900,2.2,5000,8,256
18999,2.4,5000,8,128
14999,2,5000,8,128
19999,2.05,4500,8,128
9999,2,5000,4,64
16999,2.2,5000,6,128
17999,2.2,4500,8,128
19499,2.6,5000,8,256
36999,2.5,4500,8,256
21990,2.05,4500,8,128
64999,3.2,5000,16,256
59999,3.2,5000,8,256
58990,3.2,4700,8,256
24990,3.2,4400,8,128
35990,3.2,4400,12,256
39990,2.84,4000,8,128
34990,2.9,4350,8,128
39990,2.9,4350,12,256
59990,3,4700,8,256
30990,2.84,4500,8,128
34949,2.84,4500,12,256
47990,3.2,4700,8,128
28999,3.2,4700,8,128
33749,3.2,4700,12,256
22990,3.2,4700,8,128
29999,3.1,5000,8,128
32990,3.2,5000,8,256
24990,3.1,5000,8,128
14489,2.4,5000,4,128
15999,2.4,5000,6,128
15499,2.2,5000,4,128
16940,2.2,5000,6,128
18498,2.2,5000,8,128
15499,2,5000,6,128
13989,2,5000,4,64
21788,2.4,4700,6,128
27999,2.4,4700,12,256
23399,2.4,4700,8,128
17999,2.2,4200,8,128
24999,2.36,5000,6,128
14999,2.2,5000,4,128
6699,1.6,5000,3,64
11990,2.2,5000,4,32
17990,2.4,5000,8,128
10999,1.8,5000,8,128
59999,2.84,5000,16,512
46990,3,5600,12,256
5999,1.8,4000,6,64
54999,2.4,4300,6,128
18999,2.4,5000,6,128
22999,2.5,4020,6,128
24999,2.5,4020,8,128
39999,2.9,4400,8,128
34999,3,4800,8,128
34999,2.36,4200,8,128
42990,3.2,4500,8,128
59990,3.2,4800,8,128
57999,2.84,5000,12,256
22490,3.2,5000,6,128
10499,2,5000,2,64
9022,2.3,5000,4,64
8999,2.3,5000,4,64
7990,1.8,5000,3,32
8859,1.8,5000,4,64
31990,2.2,4020,8,128
23990,2.9,5000,6,128
34990,3,5000,8,128
19990,2.2,5000,6,128
15999,2,5000,4,128
9499,2.3,5000,4,64
19999,2,5000,4,128
9999,2,5000,4,64
11999,2,5000,6,128
10499,2.4,5000,4,64
14499,2.3,6000,4,64
10999,2.4,5000,4,64
11999,2.4,5000,4,64
12999,2.4,5000,6,128
16999,2.2,5000,4,64
21999,2.2,5000,4,128
15999,2.3,6000,6,128
16999,2.2,5000,6,128
19990,2.2,5000,6,128
15999,2.2,5000,6,128
25999,2.2,5000,8,256
20499,2.2,5000,8,128
18999,2.2,5000,6,128
23990,2.9,4400,8,128
39999,3.2,4600,8,128
19499,2.2,5000,6,128
11490,2,4000,4,64
49990,3.2,5000,8,128
9499,1.6,5050,3,32
10499,1.6,5000,4,64
11999,1.6,5050,4,64
13499,1.6,5050,6,128
28498,2.2,4500,6,128
17990,2,4470,6,128
41990,2.2,4200,6,128
39990,3.2,6000,6,128
26749,2.5,4500,8,128
35999,2.5,4500,12,256
28249,2.5,4500,8,256
24990,2.5,5000,6,128
39990,3.2,4700,8,128
44999,2.9,5050,8,128
60990,3.2,5000,12,256
46990,3.2,6000,8,128
60999,3.2,5000,12,256
49990,3,5000,8,128
34999,3.2,5000,8,128
60999,3,5000,8,128
32999,2.85,5000,8,128
36999,2.85,5000,12,256
35389,2.85,5000,8,128
44999,3.2,4800,8,128
50999,3.2,4800,12,256
55999,3.2,4800,16,256
54999,3.2,5000,12,256
39999,3.2,5000,8,128
64800,2.84,4500,8,128
44999,2.84,4500,8,128
34999,3.2,5000,8,128
28990,2.85,4500,8,128
47990,3.2,4800,12,256
14999,1.8,6000,4,64
22999,2.2,5000,8,128
33900,3,4500,12,256
28999,3,4500,8,128
27999,3.1,4200,8,128
29990,3,4500,8,128
29999,2.36,4500,8,128
19989,2.2,5000,6,128
21995,2.2,5000,8,128
24999,2.2,5000,8,256
21999,2.2,5000,6,128
18999,2.2,5000,6,128
19999,2,4300,8,128
25595,2,4300,6,128
16990,1.8,5000,4,64
20990,2.2,4500,6,128
16990,2,5000,4,64
18990,2.4,5000,4,64
19999,2,4500,4,64
24999,2.4,4300,8,128
20990,2.2,4800,8,128
13990,1.8,5000,6,128
13499,2.3,5000,4,64
14700,2.3,5000,6,128
11990,2.3,5000,3,64
13969,2.3,5000,4,64
18990,2.2,5000,6,128
13990,2.2,5000,6,128
15490,2,5000,6,128
16490,2.4,5000,6,128
15499,2.3,5000,4,64
15998,2.3,5000,4,128
21990,2.4,5000,6,128
17999,2.4,5000,8,128
18999,2.2,5000,8,128
17999,2.4,5000,8,128
22990,2.2,4500,8,256
23990,2.4,5000,12,256
30990,3,5000,8,128
18990,2.2,4015,8,128
14990,2,5000,6,128
17994,2.2,4310,8,128
19990,2.4,4310,8,128
15988,2,5000,6,128
20999,2.4,4500,8,128
25969,2.2,4500,8,128
25895,2.2,4500,8,128
21899,2.4,4500,8,128
27660,2.2,4800,8,128
19990,2.2,4500,8,128
27990,2.36,4500,8,128
69990,3.2,4700,8,256
13490,2.4,5000,6,128
16990,2.4,5000,8,128
16999,2.4,5000,8,128
29990,2.84,5000,8,128
16990,2.2,5000,6,128
19990,2.2,4000,8,128
32999,2.5,5000,8,256
42990,3.05,5000,16,256
58990,3.2,4700,12,256
29990,2.4,4300,8,128
38700,2.6,4350,8,128
22990,2.4,4000,6,128
26380,2,4300,8,128
36760,3,4500,12,256
44990,3.2,4500,8,128
32990,3,4500,8,128
42990,2.85,4500,8,256
45999,2.85,4500,12,256
45999,2.85,4500,12,256
26990,2.2,4500,8,256
29990,2.2,5000,8,256
19999,2.2,5000,8,256
28499,2.4,4500,8,256
39999,2.85,4500,16,256
